2024-09-23 22:37:41,120:INFO:Timestamp: 2024-09-23 22:37:41, CPU Usage: 71.5%, RAM Usage: 92.3%, Disk Usage: 36.5%, CPU Temperature: 67.0 °C, Fan Speed: None RPM
2024-09-23 22:37:45,024:INFO:Timestamp: 2024-09-23 22:37:45, CPU Usage: 85.2%, RAM Usage: 93.0%, Disk Usage: 36.5%, CPU Temperature: 67.0 °C, Fan Speed: None RPM
2024-09-23 22:37:48,052:INFO:Timestamp: 2024-09-23 22:37:48, CPU Usage: 29.1%, RAM Usage: 92.3%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:51,050:INFO:Timestamp: 2024-09-23 22:37:51, CPU Usage: 36.2%, RAM Usage: 92.6%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:38:00,137:INFO:Timestamp: 2024-09-23 22:38:00, CPU Usage: 65.3%, RAM Usage: 92.2%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:38:57,053:INFO:Timestamp: 2024-09-23 22:38:57, CPU Usage: 19.9%, RAM Usage: 79.4%, Disk Usage: 36.6%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:38:58,112:INFO:Timestamp: 2024-09-23 22:38:58, CPU Usage: 19.6%, RAM Usage: 79.4%, Disk Usage: 36.6%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:38:59,125:INFO:Timestamp: 2024-09-23 22:38:59, CPU Usage: 19.6%, RAM Usage: 79.6%, Disk Usage: 36.6%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:39:00,146:INFO:Timestamp: 2024-09-23 22:39:00, CPU Usage: 78.2%, RAM Usage: 80.9%, Disk Usage: 36.6%, CPU Temperature: 68.0 °C, Fan Speed: None RPM
2024-09-23 22:39:01,159:INFO:Timestamp: 2024-09-23 22:39:01, CPU Usage: 61.6%, RAM Usage: 80.8%, Disk Usage: 36.6%, CPU Temperature: 69.0 °C, Fan Speed: None RPM
2024-09-23 22:39:02,180:INFO:Timestamp: 2024-09-23 22:39:02, CPU Usage: 22.3%, RAM Usage: 80.2%, Disk Usage: 36.6%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:39:03,239:INFO:Timestamp: 2024-09-23 22:39:03, CPU Usage: 24.0%, RAM Usage: 80.1%, Disk Usage: 36.6%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:39:04,294:INFO:Timestamp: 2024-09-23 22:39:04, CPU Usage: 13.1%, RAM Usage: 79.9%, Disk Usage: 36.6%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:39:05,350:INFO:Timestamp: 2024-09-23 22:39:05, CPU Usage: 14.0%, RAM Usage: 80.0%, Disk Usage: 36.6%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:39:06,410:INFO:Timestamp: 2024-09-23 22:39:06, CPU Usage: 23.1%, RAM Usage: 79.6%, Disk Usage: 36.6%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 23:38:09,410:INFO:Timestamp: 2024-09-23 23:38:09, CPU Usage: 34.0%, RAM Usage: 79.9%, Disk Usage: 37.7%, CPU Temperature: 58.0 °C, Fan Speed: None RPM
2024-09-23 23:38:10,471:INFO:Timestamp: 2024-09-23 23:38:10, CPU Usage: 22.6%, RAM Usage: 79.5%, Disk Usage: 37.7%, CPU Temperature: 57.0 °C, Fan Speed: None RPM
2024-09-23 23:38:11,594:INFO:Timestamp: 2024-09-23 23:38:11, CPU Usage: 29.6%, RAM Usage: 79.8%, Disk Usage: 37.7%, CPU Temperature: 57.0 °C, Fan Speed: None RPM
2024-09-23 23:38:12,654:INFO:Timestamp: 2024-09-23 23:38:12, CPU Usage: 18.5%, RAM Usage: 79.9%, Disk Usage: 37.7%, CPU Temperature: 57.0 °C, Fan Speed: None RPM
2024-09-23 23:38:13,714:INFO:Timestamp: 2024-09-23 23:38:13, CPU Usage: 24.1%, RAM Usage: 79.8%, Disk Usage: 37.7%, CPU Temperature: 57.0 °C, Fan Speed: None RPM
2024-09-23 23:38:14,775:INFO:Timestamp: 2024-09-23 23:38:14, CPU Usage: 59.1%, RAM Usage: 84.3%, Disk Usage: 37.7%, CPU Temperature: 59.0 °C, Fan Speed: None RPM
2024-09-23 23:38:15,844:INFO:Timestamp: 2024-09-23 23:38:15, CPU Usage: 61.9%, RAM Usage: 83.8%, Disk Usage: 37.7%, CPU Temperature: 58.0 °C, Fan Speed: None RPM
2024-09-23 23:38:16,871:INFO:Timestamp: 2024-09-23 23:38:16, CPU Usage: 48.8%, RAM Usage: 84.9%, Disk Usage: 37.7%, CPU Temperature: 58.0 °C, Fan Speed: None RPM
